"order_id","city","delivery_time"
745,"Kolkata","00:00:52"
755,"Bangalore","00:00:52"
791,"Mumbai","00:00:52"
799,"Chennai","00:00:52"
826,"Chennai","00:00:52"
839,"Bangalore","00:00:52"
907,"Delhi","00:00:52"
39,"Chennai","00:00:51"
56,"Mumbai","00:00:51"
123,"Chennai","00:00:51"
159,"Mumbai","00:00:51"
260,"Mumbai","00:00:51"
336,"Delhi","00:00:51"
355,"Chennai","00:00:51"
397,"Kolkata","00:00:51"
470,"Kolkata","00:00:51"
482,"Mumbai","00:00:51"
560,"Mumbai","00:00:51"
563,"Delhi","00:00:51"
583,"Chennai","00:00:51"
631,"Chennai","00:00:51"
638,"Chennai","00:00:51"
679,"Chennai","00:00:51"
714,"Kolkata","00:00:51"
861,"Mumbai","00:00:51"
894,"Bangalore","00:00:51"
937,"Mumbai","00:00:51"
959,"Bangalore","00:00:51"
997,"Kolkata","00:00:51"
64,"Chennai","00:00:50"
118,"Delhi","00:00:50"
140,"Delhi","00:00:50"
201,"Chennai","00:00:50"
213,"Chennai","00:00:50"
295,"Delhi","00:00:50"
309,"Chennai","00:00:50"
385,"Chennai","00:00:50"
453,"Bangalore","00:00:50"
489,"Delhi","00:00:50"
497,"Kolkata","00:00:50"
537,"Chennai","00:00:50"
584,"Chennai","00:00:50"
634,"Delhi","00:00:50"
722,"Kolkata","00:00:50"
732,"Bangalore","00:00:50"
742,"Delhi","00:00:50"
759,"Kolkata","00:00:50"
781,"Chennai","00:00:50"
854,"Delhi","00:00:50"
984,"Chennai","00:00:50"
58,"Kolkata","00:00:49"
98,"Bangalore","00:00:49"
167,"Delhi","00:00:49"
175,"Kolkata","00:00:49"
226,"Delhi","00:00:49"
331,"Delhi","00:00:49"
356,"Bangalore","00:00:49"
367,"Kolkata","00:00:49"
458,"Chennai","00:00:49"
510,"Delhi","00:00:49"
577,"Chennai","00:00:49"
596,"Delhi","00:00:49"
772,"Chennai","00:00:49"
775,"Kolkata","00:00:49"
822,"Chennai","00:00:49"
834,"Mumbai","00:00:49"
871,"Kolkata","00:00:49"
901,"Delhi","00:00:49"
946,"Bangalore","00:00:49"
985,"Mumbai","00:00:49"
44,"Chennai","00:00:48"
45,"Chennai","00:00:48"
63,"Bangalore","00:00:48"
163,"Delhi","00:00:48"
266,"Bangalore","00:00:48"
302,"Chennai","00:00:48"
330,"Chennai","00:00:48"
369,"Kolkata","00:00:48"
429,"Chennai","00:00:48"
455,"Mumbai","00:00:48"
462,"Bangalore","00:00:48"
496,"Mumbai","00:00:48"
531,"Mumbai","00:00:48"
545,"Bangalore","00:00:48"
554,"Kolkata","00:00:48"
593,"Delhi","00:00:48"
630,"Mumbai","00:00:48"
640,"Mumbai","00:00:48"
720,"Mumbai","00:00:48"
724,"Chennai","00:00:48"
751,"Mumbai","00:00:48"
836,"Delhi","00:00:48"
851,"Chennai","00:00:48"
858,"Chennai","00:00:48"
862,"Mumbai","00:00:48"
910,"Bangalore","00:00:48"
928,"Kolkata","00:00:48"
936,"Chennai","00:00:48"
943,"Kolkata","00:00:48"
5,"Chennai","00:00:47"
37,"Mumbai","00:00:47"
59,"Mumbai","00:00:47"
80,"Delhi","00:00:47"
112,"Chennai","00:00:47"
308,"Delhi","00:00:47"
341,"Mumbai","00:00:47"
409,"Kolkata","00:00:47"
444,"Delhi","00:00:47"
507,"Bangalore","00:00:47"
529,"Kolkata","00:00:47"
610,"Chennai","00:00:47"
639,"Bangalore","00:00:47"
663,"Kolkata","00:00:47"
696,"Chennai","00:00:47"
712,"Bangalore","00:00:47"
743,"Delhi","00:00:47"
764,"Chennai","00:00:47"
767,"Mumbai","00:00:47"
769,"Kolkata","00:00:47"
797,"Bangalore","00:00:47"
823,"Bangalore","00:00:47"
875,"Kolkata","00:00:47"
884,"Mumbai","00:00:47"
934,"Mumbai","00:00:47"
964,"Bangalore","00:00:47"
972,"Kolkata","00:00:47"
975,"Delhi","00:00:47"
976,"Bangalore","00:00:47"
7,"Delhi","00:00:46"
40,"Kolkata","00:00:46"
89,"Chennai","00:00:46"
188,"Mumbai","00:00:46"
237,"Bangalore","00:00:46"
311,"Chennai","00:00:46"
349,"Bangalore","00:00:46"
353,"Chennai","00:00:46"
454,"Mumbai","00:00:46"
623,"Chennai","00:00:46"
671,"Chennai","00:00:46"
726,"Kolkata","00:00:46"
727,"Chennai","00:00:46"
740,"Kolkata","00:00:46"
789,"Delhi","00:00:46"
806,"Bangalore","00:00:46"
846,"Delhi","00:00:46"
932,"Kolkata","00:00:46"
939,"Bangalore","00:00:46"
953,"Delhi","00:00:46"
