"restaurant_name","rating","total_revenue"
"Masala Magic 238","4.00","4949.20"
"Curry Kingdom 12","4.10","4937.25"
"Chai & Chat 25","4.80","4910.43"
"Rasoi Ghar 150","4.00","4845.14"
"Golden Spoon 255","3.40","4782.22"
"Bombay Bistro 31","3.10","4735.75"
"Tandoori Nights 127","4.50","4727.45"
"Taste of Punjab 274","3.60","4711.23"
"Masala Magic 117","4.20","4704.60"
"Curry Kingdom 278","4.10","4661.41"
"The Food Studio 94","4.30","4605.59"
"Annapurna Bhavan 115","4.90","4588.65"
"Urban Tadka 286","3.20","4587.98"
"Mughal Mahal 205","3.50","4586.87"
"Dragon Wok 297","4.90","4564.41"
"Golden Spoon 140","3.30","4557.62"
"Taste of Punjab 16","3.60","4522.62"
"Rasoi Ghar 95","3.00","4502.08"
"Masala Magic 21","4.40","4496.29"
"Pizza Junction 148","4.50","4484.77"
"The Hungry Panda 85","4.90","4480.28"
"Flavours of India 195","3.40","4410.94"
"Caf̩ Masaledar 47","4.40","4406.02"
"Biryani House 239","4.80","4390.06"
"Royal Tandoor 4","3.40","4359.09"
"Dragon Wok 220","5.00","4343.35"
"Annapurna Bhavan 126","3.30","4305.80"
"Spice Villa 159","4.50","4300.69"
"Chutney Express 118","4.20","4286.45"
"Dragon Wok 79","3.60","4252.29"
"Delhi Darbar 181","4.40","4215.27"
"Pizza Junction 207","3.40","4200.31"
"Mumbai Masala 244","4.00","4171.86"
"Rasoi Ghar 263","3.50","4130.07"
"The Curry Leaf 154","3.30","4112.64"
"Rasoi Ghar 250","3.90","4065.79"
"Delhi Darbar 198","4.40","4029.99"
"Chai & Chat 53","3.10","3991.22"
"Curry Kingdom 206","3.20","3953.87"
"Saffron Delight 290","3.80","3921.07"
"Mumbai Masala 83","3.90","3890.40"
"Rasoi Ghar 13","4.20","3882.11"
"Dragon Wok 28","3.80","3879.29"
"Golden Spoon 199","4.40","3795.31"
"Masala Magic 80","4.40","3760.65"
"Curry Kingdom 179","4.90","3754.86"
"Spice Villa 166","3.90","3753.88"
"Annapurna Bhavan 223","3.60","3748.66"
"Flavours of India 51","4.10","3746.74"
"Caf̩ Masaledar 66","3.80","3746.02"
"Royal Tandoor 225","3.20","3702.71"
"Biryani House 235","4.60","3686.64"
"Kolkata Kitchen 240","3.50","3650.35"
"Chai & Chat 173","4.90","3638.62"
"Chai & Chat 182","4.40","3607.14"
"Flavours of India 61","3.40","3576.26"
"Burger Factory 265","4.80","3560.02"
"Delhi Darbar 254","4.20","3526.72"
"Taste of Punjab 280","3.90","3497.93"
"Burger Factory 134","4.60","3494.25"
"The Curry Leaf 137","4.70","3491.64"
"Madras Cafe 48","5.00","3476.59"
"Masala Magic 162","3.10","3466.00"
"Rasoi Ghar 157","4.80","3459.53"
"Taste of Punjab 124","4.80","3449.34"
"Annapurna Bhavan 272","4.70","3447.26"
"Pizza Junction 20","3.90","3411.51"
"Flavours of India 186","4.60","3398.63"
"Madras Cafe 109","4.70","3397.43"
"Mughal Mahal 229","3.60","3393.46"
"Delhi Darbar 9","3.20","3387.91"
"Kolkata Kitchen 70","4.40","3384.87"
"Bombay Bistro 128","3.60","3377.89"
"Chai & Chat 19","4.30","3342.24"
"Chai & Chat 26","3.50","3329.29"
"Taste of Punjab 248","3.80","3294.97"
"Rasoi Ghar 191","3.60","3284.28"
"Curry Kingdom 38","4.00","3254.68"
"Rasoi Ghar 170","4.70","3238.72"
"Curry Kingdom 287","3.30","3219.81"
"Saffron Delight 175","3.20","3214.93"
"Bombay Bistro 97","4.40","3167.79"
"Chai & Chat 17","3.70","3156.61"
"Caf̩ Masaledar 102","3.40","3135.88"
"Flavours of India 169","4.50","3132.70"
"Pizza Junction 256","3.90","3077.58"
"Saffron Delight 277","3.70","3062.05"
"Chai & Chat 294","3.50","3020.34"
"Rasoi Ghar 188","3.30","2994.43"
"Punjabi Dhaba 190","3.90","2962.98"
"Curry Kingdom 187","4.30","2892.83"
"Madras Cafe 257","3.10","2874.00"
"The Curry Leaf 27","3.50","2846.15"
"Annapurna Bhavan 32","4.10","2814.75"
"Spice Villa 121","4.40","2757.35"
"The Hungry Panda 132","3.30","2712.52"
"South Spice 185","4.00","2695.82"
"Biryani House 260","3.90","2637.30"
"Golden Spoon 270","4.10","2633.55"
"Pizza Junction 98","3.20","2588.98"
"The Food Studio 99","3.10","2577.59"
"Saffron Delight 101","3.70","2558.36"
"Delhi Darbar 18","4.90","2543.11"
"Dragon Wok 180","4.90","2531.56"
"Urban Tadka 183","4.60","2517.46"
"Caf̩ Masaledar 111","3.60","2506.03"
"Mughal Mahal 59","4.30","2434.58"
"Curry Kingdom 58","3.80","2434.00"
"Pizza Junction 264","3.40","2424.52"
"Tandoori Nights 130","4.30","2416.39"
"Golden Spoon 275","5.00","2374.23"
"The Hungry Panda 125","3.80","2361.01"
"Chutney Express 100","3.30","2318.46"
"Taste of Punjab 266","4.50","2236.04"
"The Curry Leaf 202","4.20","2233.16"
"Madras Cafe 141","4.60","2221.07"
"Flavours of India 251","3.20","2219.71"
"The Food Studio 43","3.20","2182.36"
"Curry Kingdom 261","4.90","2152.75"
"Golden Spoon 171","4.10","2138.26"
"Taste of Punjab 160","4.50","2134.64"
"Bombay Bistro 87","4.40","2129.05"
"Flavours of India 163","3.30","2120.49"
"Bombay Bistro 8","3.60","2117.14"
"Taste of Punjab 108","3.30","2115.30"
"Pizza Junction 33","4.40","2110.52"
"Madras Cafe 14","4.30","2105.12"
"Kolkata Kitchen 204","3.70","2092.30"
"The Hungry Panda 119","4.80","2079.63"
"Kolkata Kitchen 107","4.60","2029.09"
"Mughal Mahal 50","3.40","2013.08"
"Masala Magic 281","4.40","2012.05"
"Royal Tandoor 289","3.70","2003.12"
"Pizza Junction 62","3.80","1982.68"
"South Spice 227","3.50","1919.07"
"Golden Spoon 149","4.50","1899.37"
"Delhi Darbar 299","3.20","1864.71"
"Saffron Delight 45","3.30","1854.71"
"Masala Magic 37","4.00","1842.53"
"Dragon Wok 139","4.40","1830.72"
"Madras Cafe 6","3.40","1827.22"
"Taste of Punjab 110","3.40","1825.52"
"Caf̩ Masaledar 105","5.00","1820.26"
"Pizza Junction 129","3.60","1771.41"
"Annapurna Bhavan 194","4.00","1689.42"
"Biryani House 64","3.20","1661.39"
"Bombay Bistro 211","4.40","1588.47"
"Curry Kingdom 210","3.50","1572.84"
"Tandoori Nights 247","4.30","1546.11"
"Punjabi Dhaba 11","3.90","1506.56"
"Dragon Wok 7","4.50","1494.43"
"Taste of Punjab 231","4.40","1491.62"
"Mumbai Masala 15","4.70","1491.48"
"Royal Tandoor 72","4.10","1489.40"
"Biryani House 138","4.80","1472.68"
"Chai & Chat 1","4.50","1433.17"
"The Curry Leaf 192","4.80","1334.08"
"Madras Cafe 298","4.70","1295.28"
"Curry Kingdom 144","4.60","1287.38"
"Golden Spoon 208","4.20","1245.43"
"Chai & Chat 258","4.40","1215.24"
"Chai & Chat 82","3.60","1187.64"
"Punjabi Dhaba 222","4.60","1187.46"
"The Hungry Panda 75","3.10","1137.96"
"Kolkata Kitchen 178","4.90","1137.91"
"Rasoi Ghar 22","4.60","1116.89"
"Punjabi Dhaba 23","3.50","1091.50"
"Burger Factory 197","3.00","1080.04"
"Mughal Mahal 36","4.80","1072.45"
"The Curry Leaf 29","4.00","1037.13"
"Bombay Bistro 68","5.00","994.49"
"Mumbai Masala 30","3.30","990.89"
"Taste of Punjab 283","4.90","937.88"
"Caf̩ Masaledar 165","4.10","936.52"
"The Hungry Panda 5","4.10","887.08"
"The Curry Leaf 151","3.20","876.22"
"The Food Studio 153","3.30","872.21"
"Mughal Mahal 131","4.40","820.54"
"Delhi Darbar 39","4.50","693.78"
"The Curry Leaf 2","4.50","681.24"
"Mughal Mahal 279","3.30","662.54"
"Biryani House 241","4.70","657.54"
"Chai & Chat 282","4.70","590.52"
"Flavours of India 216","3.50","582.41"
"The Food Studio 42","3.10","579.90"
"Urban Tadka 152","3.70","575.60"
"Delhi Darbar 113","3.60","568.12"
"Taste of Punjab 217","4.60","558.00"
"Curry Kingdom 10","4.20","474.81"
"Biryani House 114","4.30","452.08"
"Tandoori Nights 246","3.90","450.15"
"Urban Tadka 262","3.50","353.45"
"Madras Cafe 273","3.80","337.59"
"Biryani House 76","3.20","313.04"
"Chutney Express 271","4.50","309.44"
"Curry Kingdom 116","4.20","299.43"
"South Spice 123","3.60","299.11"
"Punjabi Dhaba 106","3.00","233.75"
"Mughal Mahal 245","5.00","178.45"
"Bombay Bistro 189","3.50","172.20"
"Dragon Wok 224","4.10","137.26"
"Punjabi Dhaba 57","3.40","74.42"
"Chai & Chat 65","4.90","22.25"
